Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_dense_0_dropout,0.12,0.11,0.2,0,0.2,0,0.2
params_dense_0_units,400,35.36,400,400,400,360,440
params_dense_1_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,583.33,28.87,600,575,600,555,600
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_dense_3_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_3_units,No data,No data,No data,No data,No data,No data,No data
params_dense_4_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_4_units,No data,No data,No data,No data,No data,No data,No data
params_num_dense_layers,1.6,0.55,2,1,2,1,2
