Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,371.99,66.55,350,350,450,300,500
params_cnn_dense_1_filters,405,118.91,400,312.5,500,250,555
params_cnn_dense_2_filters,475,176.78,475,412.5,537.5,362.5,587.5
params_conv1d_0_filters,232.14,179.77,128,64,512,64,512
params_conv1d_0_kernel_size,6.5,2.24,5,5,9,3,9
params_conv1d_1_filters,200,161.59,128,64,256,64,512
params_conv1d_1_kernel_size,5.83,2.28,5,4.5,7.5,3,9
params_conv1d_2_filters,325.33,175.71,256,224,512,99.2,512
params_conv1d_2_kernel_size,5.83,2.48,6,3,7.5,3,9
params_conv1d_3_filters,240,198.12,192,112,320,73.6,473.6
params_conv1d_3_kernel_size,7.5,1.91,8,6.5,9,5.3,9
params_dense_0_dropout,0.12,0.17,0,0,0.2,0,0.4
params_dense_0_units,380,105.93,375,300,450,250,527.5
params_dense_1_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,425,35.36,425,412.5,437.5,402.5,447.5
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,1.12,0.47,1,1,1,1,2
params_num_dense_layers,0.93,0.4,1,1,1,0,1
params_pool_size_0,2.6,1.21,2,2,4,1,4
params_pool_size_1,2.29,1.2,2,1,3.25,1,4
params_pool_size_2,2.58,1.24,2.5,1.75,4,1,4
params_pool_size_3,2.5,1.29,2.5,1.75,3.25,1.15,3.85
