Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,252.44,15.62,250,250,250,250,250
params_cnn_dense_1_filters,402.44,19.21,400,400,400,400,400
params_cnn_dense_2_filters,597.56,15.62,600,600,600,600,600
params_conv1d_0_filters,148.29,56.23,128,128,128,64,256
params_conv1d_0_kernel_size,3,0,3,3,3,3,3
params_conv1d_1_filters,137.37,33.75,128,128,128,128,256
params_conv1d_1_kernel_size,5.59,1.43,5,5,5,5,9
params_conv1d_2_filters,512,0,512,512,512,512,512
params_conv1d_2_kernel_size,8.95,0.32,9,9,9,9,9
params_conv1d_3_filters,512,0,512,512,512,512,512
params_conv1d_3_kernel_size,3.21,0.61,3,3,3,3,5
params_dense_0_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_0_units,No data,No data,No data,No data,No data,No data,No data
params_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,3.93,0.35,4,4,4,4,4
params_num_dense_layers,3,0,3,3,3,3,3
params_pool_size_0,3.32,0.47,3,3,4,3,4
params_pool_size_1,4,0,4,4,4,4,4
params_pool_size_2,2.28,0.45,2,2,3,2,3
params_pool_size_3,2.03,0.36,2,2,2,2,2
