Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,146.96,90.19,128,128,128,128,262.4
params_conv1d_0_kernel_size,2.26,0.78,2,2,2,2,4
params_conv1d_1_filters,256,0,256,256,256,256,256
params_conv1d_1_kernel_size,8.67,1.03,8,8,10,8,10
params_conv1d_2_filters,248.89,180.02,128,128,512,128,512
params_conv1d_2_kernel_size,10.48,0.95,10,10,11.5,10,12
params_conv1d_3_filters,128,0,128,128,128,128,128
params_conv1d_3_kernel_size,2.67,1.15,2,2,3,2,3.8
params_dense_0_dropout,3.70e-03,2.72e-02,0,0,0,0,0
params_dense_0_units,366.67,103.7,350,250,450,250,550
params_dense_1_dropout,2.22e-02,6.34e-02,0,0,0,0,0.2
params_dense_1_units,543.52,37.68,550,500,550,500,600
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,3.06,0.23,3,3,3,3,3.35
params_num_dense_layers,2,0,2,2,2,2,2
params_pool_size_0,2.19,0.44,2,2,2,2,3
params_pool_size_1,3.06,1.99,2,2,2.75,2,7
params_pool_size_2,4.17,0.91,4,4,5,2.65,5
params_pool_size_3,5,0,5,5,5,5,5
