Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,281.37,67.05,250,250,300,250,425
params_cnn_dense_1_filters,428.57,162.93,350,300,600,265,600
params_cnn_dense_2_filters,437.5,188.75,450,287.5,600,257.5,600
params_conv1d_0_filters,75.03,32.03,64,64,64,64,128
params_conv1d_0_kernel_size,5.48,1.47,5,5,5,4.7,9
params_conv1d_1_filters,224,89.91,256,160,256,64,256
params_conv1d_1_kernel_size,5.79,1.24,5,5,7,5,9
params_conv1d_2_filters,450.46,141.11,512,512,512,64,512
params_conv1d_2_kernel_size,8.5,1.48,9,9,9,5,9
params_conv1d_3_filters,270.37,94.45,256,256,256,140.8,512
params_conv1d_3_kernel_size,8.71,1,9,9,9,5.8,9
params_dense_0_dropout,0,0,0,0,0,0,0
params_dense_0_units,450,91.29,450,387.5,512.5,357.5,542.5
params_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,3.74,0.64,4,4,4,2,4
params_num_dense_layers,1.14,0.61,1,1,1,0.85,3
params_pool_size_0,3.72,0.64,4,4,4,2,4
params_pool_size_1,2.34,0.71,2,2,2,2,4
params_pool_size_2,2.79,0.61,3,2,3,2,4
params_pool_size_3,3.86,0.46,4,4,4,3,4
