Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.2,0.17,0.15,7.50e-02,0.4,0,0.4
params_cheb_0_units,233.33,85.0,260,220,280,84,320
params_cheb_1_dropout,0.29,0.16,0.3,0.25,0.4,0,0.45
params_cheb_1_units,301.82,126.95,320,300,400,60,400
params_cheb_2_dropout,0.1,0.1,0.1,5.00e-02,0.15,1.00e-02,0.19
params_cheb_2_units,200,174.36,120,100,260,84,372
params_cheb_3_dropout,No data,No data,No data,No data,No data,No data,No data
params_cheb_3_units,No data,No data,No data,No data,No data,No data,No data
params_dense_0_dropout,0.2,9.43e-02,0.2,0.2,0.2,9.00e-02,0.31
params_dense_0_units,455,68.52,450,450,500,345,527.5
params_dense_1_dropout,0.22,6.67e-02,0.2,0.2,0.2,0.2,0.32
params_dense_1_units,416.67,163.94,450,250,550,250,600
params_dense_2_dropout,0.35,0.14,0.4,0.4,0.4,0.14,0.4
params_dense_2_units,531.25,70.39,525,500,600,435,600
params_knn_k,12.67,4.46,16,8,16,6.2,16
params_num_dense_layers,2.25,1.22,3,1.75,3,0,3
params_num_gnn_layers,2.17,0.58,2,2,2.25,1.55,3
