beam_index,count,relative_frequency
0,1,0.0000893336
1,0,0.0000000000
2,0,0.0000000000
3,0,0.0000000000
4,2,0.0001786671
5,3,0.0002680007
6,0,0.0000000000
7,0,0.0000000000
8,0,0.0000000000
9,0,0.0000000000
10,0,0.0000000000
11,0,0.0000000000
12,0,0.0000000000
13,0,0.0000000000
14,0,0.0000000000
15,0,0.0000000000
16,163,0.0145613722
17,5,0.0004466679
18,0,0.0000000000
19,0,0.0000000000
20,0,0.0000000000
21,0,0.0000000000
22,0,0.0000000000
23,0,0.0000000000
24,0,0.0000000000
25,0,0.0000000000
26,0,0.0000000000
27,0,0.0000000000
28,3,0.0002680007
29,1,0.0000893336
30,17,0.0015186707
31,9,0.0008040021
32,1,0.0000893336
33,0,0.0000000000
34,0,0.0000000000
35,2,0.0001786671
36,0,0.0000000000
37,2,0.0001786671
38,10,0.0008933357
39,0,0.0000000000
40,0,0.0000000000
41,0,0.0000000000
42,0,0.0000000000
43,0,0.0000000000
44,0,0.0000000000
45,0,0.0000000000
46,0,0.0000000000
47,1,0.0000893336
48,105,0.0093800250
49,42,0.0037520100
50,18,0.0016080043
51,1,0.0000893336
52,0,0.0000000000
53,0,0.0000000000
54,0,0.0000000000
55,0,0.0000000000
56,1,0.0000893336
57,0,0.0000000000
58,1,0.0000893336
59,8,0.0007146686
60,4,0.0003573343
61,2,0.0001786671
62,1,0.0000893336
63,3,0.0002680007
64,0,0.0000000000
65,0,0.0000000000
66,0,0.0000000000
67,0,0.0000000000
68,1,0.0000893336
69,1,0.0000893336
70,0,0.0000000000
71,0,0.0000000000
72,1,0.0000893336
73,0,0.0000000000
74,2,0.0001786671
75,1,0.0000893336
76,3,0.0002680007
77,2,0.0001786671
78,3,0.0002680007
79,19,0.0016973379
80,1,0.0000893336
81,78,0.0069680186
82,66,0.0058960157
83,59,0.0052706807
84,37,0.0033053421
85,34,0.0030373414
86,13,0.0011613364
87,12,0.0010720029
88,0,0.0000000000
89,3,0.0002680007
90,0,0.0000000000
91,12,0.0010720029
92,8,0.0007146686
93,4,0.0003573343
94,0,0.0000000000
95,5,0.0004466679
96,4,0.0003573343
97,0,0.0000000000
98,0,0.0000000000
99,0,0.0000000000
100,1,0.0000893336
101,2,0.0001786671
102,0,0.0000000000
103,6,0.0005360014
104,2,0.0001786671
105,2,0.0001786671
106,7,0.0006253350
107,5,0.0004466679
108,1,0.0000893336
109,0,0.0000000000
110,13,0.0011613364
111,0,0.0000000000
112,0,0.0000000000
113,0,0.0000000000
114,5,0.0004466679
115,51,0.0045560121
116,96,0.0085760229
117,145,0.0129533679
118,148,0.0132213686
119,163,0.0145613722
120,116,0.0103626943
121,36,0.0032160086
122,89,0.0079506879
123,92,0.0082186886
124,19,0.0016973379
125,1,0.0000893336
126,2,0.0001786671
127,3,0.0002680007
128,268,0.0239413972
129,0,0.0000000000
130,16,0.0014293371
131,23,0.0020546721
132,68,0.0060746829
133,310,0.0276934072
134,192,0.0171520457
135,7,0.0006253350
136,3,0.0002680007
137,2,0.0001786671
138,0,0.0000000000
139,0,0.0000000000
140,0,0.0000000000
141,0,0.0000000000
142,0,0.0000000000
143,0,0.0000000000
144,2,0.0001786671
145,0,0.0000000000
146,0,0.0000000000
147,0,0.0000000000
148,0,0.0000000000
149,0,0.0000000000
150,62,0.0055386814
151,160,0.0142933714
152,297,0.0265320708
153,353,0.0315347508
154,662,0.0591388244
155,718,0.0641415044
156,972,0.0868322316
157,1450,0.1295336788
158,1093,0.0976415937
159,906,0.0809362158
160,2,0.0001786671
161,0,0.0000000000
162,1,0.0000893336
163,0,0.0000000000
164,5,0.0004466679
165,1,0.0000893336
166,1,0.0000893336
167,0,0.0000000000
168,1,0.0000893336
169,34,0.0030373414
170,43,0.0038413436
171,8,0.0007146686
172,9,0.0008040021
173,2,0.0001786671
174,1,0.0000893336
175,0,0.0000000000
176,0,0.0000000000
177,0,0.0000000000
178,10,0.0008933357
179,37,0.0033053421
180,74,0.0066106843
181,190,0.0169733786
182,204,0.0182240486
183,203,0.0181347150
184,221,0.0197427193
185,155,0.0138467036
186,22,0.0019653386
187,11,0.0009826693
188,5,0.0004466679
189,1,0.0000893336
190,0,0.0000000000
191,0,0.0000000000
192,0,0.0000000000
193,0,0.0000000000
194,0,0.0000000000
195,0,0.0000000000
196,1,0.0000893336
197,1,0.0000893336
198,0,0.0000000000
199,0,0.0000000000
200,0,0.0000000000
201,0,0.0000000000
202,16,0.0014293371
203,16,0.0014293371
204,18,0.0016080043
205,6,0.0005360014
206,2,0.0001786671
207,0,0.0000000000
208,2,0.0001786671
209,29,0.0025906736
210,87,0.0077720207
211,109,0.0097373593
212,87,0.0077720207
213,4,0.0003573343
214,0,0.0000000000
215,2,0.0001786671
216,1,0.0000893336
217,0,0.0000000000
218,2,0.0001786671
219,2,0.0001786671
220,3,0.0002680007
221,6,0.0005360014
222,0,0.0000000000
223,1,0.0000893336
224,0,0.0000000000
225,0,0.0000000000
226,0,0.0000000000
227,1,0.0000893336
228,3,0.0002680007
229,3,0.0002680007
230,11,0.0009826693
231,0,0.0000000000
232,0,0.0000000000
233,0,0.0000000000
234,0,0.0000000000
235,0,0.0000000000
236,0,0.0000000000
237,0,0.0000000000
238,3,0.0002680007
239,2,0.0001786671
240,50,0.0044666786
241,112,0.0100053600
242,9,0.0008040021
243,0,0.0000000000
244,0,0.0000000000
245,0,0.0000000000
246,0,0.0000000000
247,0,0.0000000000
248,0,0.0000000000
249,0,0.0000000000
250,2,0.0001786671
251,1,0.0000893336
252,3,0.0002680007
253,2,0.0001786671
254,10,0.0008933357
255,2,0.0001786671
