Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,278.21,45.48,250,250,300,250,350
params_cnn_dense_1_filters,409.09,137.51,350,300,550,275,600
params_cnn_dense_2_filters,437.5,188.75,450,287.5,600,257.5,600
params_conv1d_0_filters,69.94,20.75,64,64,64,64,128
params_conv1d_0_kernel_size,5.17,1.33,5,5,5,3,9
params_conv1d_1_filters,238.19,65.58,256,256,256,96,256
params_conv1d_1_kernel_size,5.4,0.9,5,5,5,5,7
params_conv1d_2_filters,455.41,136.04,512,512,512,128,512
params_conv1d_2_kernel_size,8.61,1.15,9,9,9,7,9
params_conv1d_3_filters,267.57,80.43,256,256,256,256,512
params_conv1d_3_kernel_size,8.81,0.74,9,9,9,7,9
params_dense_0_dropout,2.50e-02,7.07e-02,0,0,0,0,0.13
params_dense_0_units,406.25,105.01,400,337.5,500,267.5,532.5
params_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,3.95,0.3,4,4,4,4,4
params_num_dense_layers,1.04,0.3,1,1,1,1,1
params_pool_size_0,3.92,0.35,4,4,4,4,4
params_pool_size_1,2.14,0.44,2,2,2,2,3
params_pool_size_2,2.62,0.53,3,2,3,2,3
params_pool_size_3,3.96,0.26,4,4,4,4,4
