Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_1_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_2_filters,No data,No data,No data,No data,No data,No data,No data
params_conv1d_0_filters,256,0,256,256,256,256,256
params_conv1d_0_kernel_size,5,0,5,5,5,5,5
params_conv1d_1_filters,126.86,8.55,128,128,128,128,128
params_conv1d_1_kernel_size,5,0,5,5,5,5,5
params_conv1d_2_filters,507.43,34.21,512,512,512,512,512
params_conv1d_2_kernel_size,6.89,0.59,7,7,7,5,7
params_conv1d_3_filters,121.14,81.58,128,64,128,64,128
params_conv1d_3_kernel_size,8.11,1.74,9,7,9,3,9
params_dense_0_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,446.43,18.73,450,450,450,400,450
params_dense_1_dropout,0.2,5.39e-02,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,309.82,24.16,300,300,300,300,350
params_dense_2_dropout,0,,0,0,0,0,0
params_dense_2_units,450,,450,450,450,450,450
params_num_conv_layers,4,0,4,4,4,4,4
params_num_dense_layers,2.02,0.13,2,2,2,2,2
params_pool_size_0,1.98,0.13,2,2,2,2,2
params_pool_size_1,2.86,0.52,3,3,3,1,3
params_pool_size_2,1.02,0.13,1,1,1,1,1
params_pool_size_3,3.91,0.39,4,4,4,3.75,4
