Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_1_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_2_filters,No data,No data,No data,No data,No data,No data,No data
params_conv1d_0_filters,64.68,6.6,64,64,64,64,64
params_conv1d_0_kernel_size,3.02,0.21,3,3,3,3,3
params_conv1d_1_filters,66.72,20.81,64,64,64,64,64
params_conv1d_1_kernel_size,7,0,7,7,7,7,7
params_conv1d_2_filters,132.09,39.61,128,128,128,128,128
params_conv1d_2_kernel_size,5.02,0.21,5,5,5,5,5
params_conv1d_3_filters,512,0,512,512,512,512,512
params_conv1d_3_kernel_size,8.79,1.08,9,9,9,9,9
params_dense_0_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_0_units,No data,No data,No data,No data,No data,No data,No data
params_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,4,0,4,4,4,4,4
params_num_dense_layers,0,0,0,0,0,0,0
params_pool_size_0,2,0,2,2,2,2,2
params_pool_size_1,2.94,0.25,3,3,3,2,3
params_pool_size_2,1,0,1,1,1,1,1
params_pool_size_3,2,0,2,2,2,2,2
